	August 5, 2025	Dyeing System Used:		Reactive	Lot No:	86	of 8/2025							
Winch:	Main Winch	Client:	STM	Scouring:	Enzymatic	Lot Weight:	200.0 kg	Excess Kgs						
Shade:	Green - Rain	Article:	Cellular	Softener:	Bubanks	Liq. Ratio:8	No Dye Fix	Salt Option		Adjusted Liq Ratio:				
								Salt Position						
Step 1	Scouring													
Begin:		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Starting Water		1600 Ltrs		60˚C	30 Minutes	9 - 10							
	Ketoprep L.A	 0.5 	800 gm											
	Caustic Soda	 3.2 	5.1 Kgs											
	Hydrogen Peroxide	 4.0 	6.4 Kgs											
	Magadi Soda Ash	 1.3 	2.1 Kgs											
End:		  												
		  					Drain							
Step 2	Hot_Wash													
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Water		1280 Ltrs		50˚C	20 Minutes	8 - 9							
		  					Drain							
Step 3	Prepare_To_Dye	ONGEZA ACID KWANZA ALAFU BAADA YA DAKIKA KUMI ONGEZA PEROXIDE KILLER												
Begin:		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Water	  	1280 Ltrs		40˚C	10 Minutes	7							
	Acetic or Green Acid	 1.0 	1.6 Kgs											
	Peroxide Killer/Peroxy ALK	 1.0 	1.6 Kgs											
Step 4	Dyeing	USIMWAGE MAJI, ONGEZA 50% CHUMVI ALFAU BAADA YA 5 MIN WEKA BALANCE												
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Sarakol / Sarabid / Levasol	 1.0 	1.6 Kgs		40˚C	20 Minutes	7							
		  												
	ONGEZA 50% YA RANGI ALAFU BAADA YA DAKIKA KUMI ONGEZA 50%.													
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	IndoFix Yellow S8GN	 0.840 	1 Kgs680 gms		40˚C	20 Minutes	7							
	IndoFix Turquoise Blue G 133%	 1.750 	3 Kgs500 gms											
	IndoFix Navy Blue S-Max	 0.420 	840 gms											
		 -   												
	REMAIN IN DWELL FOR 20 MINS													
	Industrial Salt	 60.000 	96 Kgs		60˚C	30 Minutes								
	Total Shade Percentage	 3.010 												
														
														
														
														
														
														
														
														
														
														
	ONGEZA 30% YA MAGADI NA CAUSTIC ALAFU BAADA YA DAKIKA ISHIRINI ONGEZA 70%													
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
End:	Magadi Soda Ash	 10.0 	16 Kgs		60˚C	30 Minutes	Max 12							
	Caustic Soda	 1.5 	2.4 Kgs											
	BAADA YA KUONGEZA MAGADI NA CAUSTIC, DWELL KWA DAKIKA ARUBAINE NA TANO AT 60˚C													
							Drain							
Step 5	First_Rinse													
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Water		1280 Ltrs		50˚C	10 Minutes	9-10							
							Drain							
Step 6	Soaping	ONGEZA ACID ALAFU WAKATI pH IKO CHINI YA NANE, ONGEZA FELOSAN THEN 70˚C												
		Grams/lt	Amount	Adjustments	Temp	Time	pH							
	Water		1280 Ltrs		70˚C	20 Minutes	7 - 8							
	Acetic or Green Acid	 1.0 	1.6 Kgs											
	Felosan PCL	 1.0 	1.6 Kgs				Drain							
Step 7	Final_Rinse													
	Water	  	1280 Ltrs		50˚C	10 Minutes	6 - 7							
							Drain							
Step 8	Finishing	HAKIKISHA pH KABLA KUWEKA SOFTENER (Repeat if necessary)												
	Water	  	1280 Ltrs		40˚C	10 Minutes	7							
	Softener Sarex	 1.0 	1.6 Kgs											
		  					Drain							
														
	Total Water Litres Used	 9,280.00 												
														
	Scouring System Selected: Enzymatic		Softener Selected: Bubanks											
	Chemicals Summary	Kgs Needed	Amt on Hand	Summary		Kg/Lt Cost	Total Cost							
									Needed Totals					
														
Scouring	Ketoprep L.A	 800 gms 	 57.4 Kgs 	Ok		 301.60 	 241.28 		  					
	Caustic Soda	 7.5 Kgs 	 268.6 Kgs 	Ok		 162.40 	 1,218.00 		  					
	Hydrogen Peroxide	 6.4 Kgs 	 250 Kgs 	Ok		 162.40 	 1,039.36 		  					
	Magadi Soda Ash	 18.1 Kgs 	 0 Kgs 	Shortfall		 63.80 	 1,154.78 		 1,155.00 					
		 -   	  			  	 -   		  					
		 -   	  			  	 -   		  					
									  					
Prepare to Dye	Acetic or Green Acid	 3.2 Kgs 	 173.5 Kgs 	Ok		 249.40 	 798.08 		  					
	Peroxide Killer/Peroxy ALK	 1.6 Kgs 	 82 Kgs 	Ok		 208.80 	 334.08 		  					
	Sarakol / Sarabid / Levasol	 1.6 Kgs 	 92.1 Kgs 	Ok		 382.80 	 612.48 		  					
		  	  			  	  		  					
														
									  					
Dyeing	Shade: Green - Rain													
	IndoFix Yellow S8GN	1 Kgs680 gms	 0 Kgs 	Shortfall		 1,102.00 	 1,851.36 							
	IndoFix Turquoise Blue G 133%	3 Kgs500 gms	 0.013 Kgs 	Shortfall		 922.20 	 3,227.70 							
	IndoFix Navy Blue S-Max	840 gms	 0.105 Kgs 	Shortfall		 1,044.00 	 876.96 							
			  			 -   	 -   							
	Industrial Salt	96 Kgs	 734 Kgs 	Ok		 23.20 	 2,227.20 							
									  					
Finishing	Softener Sarex	 1.6 Kgs 	 0 Ltrs 	Shortfall		 365.40 	 584.64 		 585.00 					
		 -   	  			  	  		  					
														
	Water	 9280 Ltrs 	 9000 Ltrs 	Shortfall		 0.33 	 3,062.00 		 3,062.00 					
									 4,802.00 					
							Total Cost							
					Chemicals Total		 10,687.26 							
					Dyestuffs Total		 5,956.02 							
					Chemicals & Dyes Total		 16,643.28 							
